RepeFonct,ElemSys,LibOccur,LineRev,ComponentKind,Contrat,Type,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn,SGApp
-DFL7637RA-,-DFL,Transf.Opng.Fire.Smk.HDD2302ZL,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DFL7641RA-,-DFL,Lobby.Exh.Smk.HDD0B02ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL7642RA-,-DFL,Lobby.Exh.Smk.HDD0102ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL7643RA-,-DFL,Lobby.Exh.Smk.HDD0602ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL7644RA-,-DFL,Lobby.Exh.Smk.HDD1002ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL7645RA-,-DFL,Lobby.Exh.Smk.HDD1302ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL7646RA-,-DFL,Lobby.Exh.Smk.HDD1802ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL7647RA-,-DFL,Lobby.Exh.Smk.HDD2302ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8120RA-,-DFL,SHEVS.Smk.Ctrl.HDA1027ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8122RA-,-DFL,SHEVS.Smk.Ctrl.HDA1327ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8124RA-,-DFL,SHEVS.Smk.Ctrl.HDA1831ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8126RA-,-DFL,SHEVS.Smk.Ctrl.HDA1026ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8127RA-,-DFL,SHEVS.Smk.Ctrl.HDA1026ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8130RA-,-DFL,SHEVS.Smk.Ctrl.HDA0627ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8132RA-,-DFL,SHEVS.Smk.Ctrl.HDA0626ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8134RA-,-DFL,SHEVS.Smk.Ctrl.HDA0628ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8144RA-,-DFL,SHEVS.Smk.Ctrl.HDA0B26ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8154RA-,-DFL,PDSC.SHEVS.Exh.Isol.HDA.UDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DFL8154RAM,-DFL,ID Actuator,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-DFL8110TB-,400,[NE],null,No,-
-DFL8220RA-,-DFL,SHEVS.Smk.Ctrl.HDA1005ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8222RA-,-DFL,SHEVS.Smk.Ctrl.HDA1311ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8224RA-,-DFL,SHEVS.Smk.Ctrl.HDA1811ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8226RA-,-DFL,SHEVS.Smk.Ctrl.HDA1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8227RA-,-DFL,SHEVS.Smk.Ctrl.HDA1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8230RA-,-DFL,SHEVS.Smk.Ctrl.HDA0611ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8232RA-,-DFL,SHEVS.Smk.Ctrl.HDA0607ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8234RA-,-DFL,SHEVS.Smk.Ctrl.HDA0606ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8242RA-,-DFL,SHEVS.Smk.Ctrl.HDA0107ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8244RA-,-DFL,SHEVS.Smk.Ctrl.HDA0B06ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8246RA-,-DFL,SHEVS.Smk.Ctrl.HDA0110ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8248RA-,-DFL,SHEVS.Smk.Ctrl.HDA0111ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8254RA-,-DFL,PDSC.SHEVS.Exh.Isol.HDA.EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DFL8254RAM,-DFL,ID Actuator,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-DFL8210TB-,400,[NE],null,No,-
-DFL8320RA-,-DFL,SHEVS.Smk.Ctrl.HDB1005ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8322RA-,-DFL,SHEVS.Smk.Ctrl.HDB1311ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8324RA-,-DFL,SHEVS.Smk.Ctrl.HDB1811ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8326RA-,-DFL,SHEVS.Smk.Ctrl.HDB1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8327RA-,-DFL,SHEVS.Smk.Ctrl.HDB1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8330RA-,-DFL,SHEVS.Smk.Ctrl.HDB0611ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8332RA-,-DFL,SHEVS.Smk.Ctrl.HDB0607ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8334RA-,-DFL,SHEVS.Smk.Ctrl.HDB0606ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8342RA-,-DFL,SHEVS.Smk.Ctrl.HDB0107ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8344RA-,-DFL,SHEVS.Smk.Ctrl.HDB0B06ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8346RA-,-DFL,SHEVS.Smk.Ctrl.HDB0110ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8348RA-,-DFL,SHEVS.Smk.Ctrl.HDB0111ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8354RA-,-DFL,PDSC.SHEVS.Exh.Isol.HDB.EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DFL8354RAM,-DFL,ID Actuator,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-DFL8310TB-,400,[NE],null,No,-
-DFL8420RA-,-DFL,SHEVS.Smk.Ctrl.HDD1027ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8422RA-,-DFL,SHEVS.Smk.Ctrl.HDD1311ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8424RA-,-DFL,SHEVS.Smk.Ctrl.HDD1831ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8426RA-,-DFL,SHEVS.Smk.Ctrl.HDD1026ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8427RA-,-DFL,SHEVS.Smk.Ctrl.HDD1026ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8430RA-,-DFL,SHEVS.Smk.Ctrl.HDD0627ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8432RA-,-DFL,SHEVS.Smk.Ctrl.HDD0626ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8434RA-,-DFL,SHEVS.Smk.Ctrl.HDD0628ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8444RA-,-DFL,SHEVS.Smk.Ctrl.HDD0B26ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8454RA-,-DFL,PDSC.SHEVS.Exh.Isol.HDD.UDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DFL8454RAM,-DFL,ID Actuator,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-DFL8410TB-,400,[NE],null,No,-
-DFL8520RA-,-DFL,SHEVS.Smk.Ctrl.HDC1005ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8522RA-,-DFL,SHEVS.Smk.Ctrl.HDC1311ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8524RA-,-DFL,SHEVS.Smk.Ctrl.HDC1811ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8526RA-,-DFL,SHEVS.Smk.Ctrl.HDC1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8527RA-,-DFL,SHEVS.Smk.Ctrl.HDC1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8530RA-,-DFL,SHEVS.Smk.Ctrl.HDC0611ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8532RA-,-DFL,SHEVS.Smk.Ctrl.HDC0607ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8534RA-,-DFL,SHEVS.Smk.Ctrl.HDC0606ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8542RA-,-DFL,SHEVS.Smk.Ctrl.HDC0107ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8544RA-,-DFL,SHEVS.Smk.Ctrl.HDC0B06ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8546RA-,-DFL,SHEVS.Smk.Ctrl.HDC0110ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8548RA-,-DFL,SHEVS.Smk.Ctrl.HDC0111ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8554RA-,-DFL,PDSC.SHEVS.Exh.Isol.HDC.EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DFL8554RAM,-DFL,ID Actuator,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-DFL8510TB-,400,[NE],null,No,-
-DFL8620RA-,-DFL,SHEVS.Smk.Ctrl.HDD1005ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8622RA-,-DFL,SHEVS.Smk.Ctrl.HDD1311ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8624RA-,-DFL,SHEVS.Smk.Ctrl.HDD1811ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8626RA-,-DFL,SHEVS.Smk.Ctrl.HDD1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8627RA-,-DFL,SHEVS.Smk.Ctrl.HDD1006ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8630RA-,-DFL,SHEVS.Smk.Ctrl.HDD0611ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8632RA-,-DFL,SHEVS.Smk.Ctrl.HDD0607ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8634RA-,-DFL,SHEVS.Smk.Ctrl.HDD0606ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8642RA-,-DFL,SHEVS.Smk.Ctrl.HDD0107ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8644RA-,-DFL,SHEVS.Smk.Ctrl.HDD0B06ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8646RA-,-DFL,SHEVS.Smk.Ctrl.HDD0110ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8648RA-,-DFL,SHEVS.Smk.Ctrl.HDD0111ZL,I.3,Smoke relief damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DFL8654RA-,-DFL,PDSC.SHEVS.Exh.Isol.HDD.EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DFL8654RAM,-DFL,ID Actuator,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-DFL8610TB-,400,[NE],null,No,-
-DVD1104RA-,-DVD,RECIRC.AIR HALL DIESEL,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DVD1104RAM,-DVD,Recirc.Dmpr.Mtr.Diesel.Hall,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LOP1101TB-,400,-LOP331AJC-,null,[NE],-
-DVD1105RA-,-DVD,RECIRC.AIR HALL DIESEL,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DVD1105RAM,-DVD,Recirc.Dmpr.Mtr.Diesel.Hall,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LOP1101TB-,400,-LOP231AJC-,null,[NE],-
-DVD1113RA-,-DVD,INLET.HALL DIESEL,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1123RA-,-DVD,INLET.HALL DIESEL,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1133RA-,-DVD,INLET.HALL DIESEL,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1142RA-,-DVD,DAMPER.ISL.5 INLET.HD EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DVD1142RAM,-DVD,Isl.Dmpr.Mtr.Air.Sply.HD,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LOP1101TB-,400,-LOP237AJC-,null,[NE],-
-DVD1152RA-,-DVD,DAMPER.ISL.6 INLET.HD EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DVD1152RAM,-DVD,Isl.Dmpr.Mtr.Air.Sply.HD,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LOP1101TB-,400,-LOP243AJC-,null,[NE],-
-DVD1162RA-,-DVD,DAMPER.ISL.7 INLET.HD EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DVD1162RAM,-DVD,Isl.Dmpr.Mtr.Air.Sply.HD,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LOP1101TB-,400,-LOP249AJC-,null,[NE],-
-DVD1163RA-,-DVD,INLET.HALL DIESEL,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1172RA-,-DVD,DAMPER.ISL.8 INLET.HD EDG,I.3,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DVD1172RAM,-DVD,Isl.Dmpr.Mtr.Air.Sply.HD,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LOP1101TB-,400,-LOP255AJC-,null,[NE],-
-DVD1322RA-,-DVD,Diesel hall Exhaust,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1332RA-,-DVD,Diesel hall Exhaust,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1342RA-,-DVD,Diesel hall Exhaust,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1352RA-,-DVD,Diesel hall Exhaust,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1401RA-,-DVD,CTRL.DMPR.FRESH AIR LOC.ELEC.,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1437RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1439RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1445RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1446RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1449RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1450RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1451RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1453RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1454RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1460RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1466RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1467RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1468RA-,-DVD,Ventilation check valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1470RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1502RA-,-DVD,Relay Tank Exhaust,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1504RA-,-DVD,Fuel Tanks Room Exhaust,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1505RA-,-DVD,Ventilation check valve,I.3,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1533RA-,-DVD,Ventilation check valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1538RA-,-DVD,Relay Tank Supply,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1601RA-,-DVD,Fire damper AHU room,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1603RA-,-DVD,Fire damper HVAC room,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1604RA-,-DVD,Fire damper HVAC room,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1605RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1606RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1607RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1608RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1609RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1610RA-,-DVD,Fire damper HVAC room,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1611RA-,-DVD,Fire damper Relay Fuel Tank,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1612RA-,-DVD,Fire damper Relay Fuel Tank,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1613RA-,-DVD,Fire damper AHU room,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1621RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1623RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1624RA-,-DVD,Fire damper Main Fuel Tank,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1643RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1651RA-,-DVD,Fire dmpr firefigthing lobby,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1652RA-,-DVD,Fire dmpr firefigthing lobby,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1653RA-,-DVD,Fire dmpr firefigthing lobby,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1654RA-,-DVD,Fire dmpr firefigthing lobby,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1655RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1656RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1657RA-,-DVD,Fire dmpr firefigthing lobby,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1658RA-,-DVD,Fire dmpr firefigthing lobby,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1659RA-,-DVD,Ventilation on-off valve,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1660RA-,-DVD,Fire dmpr firefigthing lobby,I.3,Fire Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-04-1
-DVD1701RA-,-DVD,Ventilation control valve,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1702RA-,-DVD,Inlet Control Damper,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DVD1703RA-,-DVD,Inlet Control Damper,I.3,Manual control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
